True_Sector,Pattern,F_T_STL,F_S_STL,F_R_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,Num_Kernels,Kernel_Expression,Operations,Kernels_Used
S3,Stationary,0.396838504851064,0.3998646616667741,0.0,0.6139193064313437,0.6083047673843827,0.5957817687748994,4,(((PER(p=12)+PER(p=96))+RQ(alpha=1))+RBF(l=1)),"[np.str_('+'), np.str_('+'), np.str_('+')]","['PER', 'PER', 'RQ', 'RBF']"
S3,Stationary,0.1601273713867085,0.3508515777550224,0.0,0.1821927823476976,0.3503887345868375,0.0,1,PER(p=336),['None'],['PER']
S3,Stationary,0.081729693949076,0.2457285829736386,0.0,0.1629463423210662,0.365745791545672,0.3061884048097758,2,(PER(p=10)+WN(sigma=1)),[np.str_('+')],"['PER', 'WN']"
S3,Stationary,0.0059059233187797,0.9999866385086384,0.0,0.0220178729519213,0.999991489869798,0.3630839336711309,1,PER(p=26),['None'],['PER']
S3,Stationary,0.9996833292765236,0.0578013609421721,0.0,0.99998977185451,0.907157079725805,0.9684070344656016,1,PER(p=365),['None'],['PER']
S3,Stationary,0.025976399056297,0.4812034151018369,0.0,0.0076939639810904,0.0126104749020139,0.0,2,(PER(p=336)+RBF(l=0.1)),[np.str_('+')],"['PER', 'RBF']"
S3,Stationary,0.0,0.8577245644278019,0.0,0.0934171613103659,0.8970487517179442,0.3832658873653187,2,(PER(p=12)*PER(p=48)),[np.str_('*')],"['PER', 'PER']"
S3,Stationary,0.026530323869624,0.2130588697992976,0.0,0.1934215555188557,0.4194408168954653,0.3824081315972686,4,(((PER(p=96)+PER(p=672))+PER(p=96))*WN(sigma=0.1)),"[np.str_('+'), np.str_('+'), np.str_('*')]","['PER', 'PER', 'PER', 'WN']"
S3,Stationary,0.214646122932705,0.230023955307422,0.0,0.3233614369637717,0.3151440396456755,0.3162646775115665,3,((RQ(alpha=0.1)+RQ(alpha=1))*PER(p=4)),"[np.str_('+'), np.str_('*')]","['RQ', 'RQ', 'PER']"
S3,Stationary,0.0950605345829502,0.999935423743293,0.0,0.2018472014825171,0.9999531185836136,0.2750476673977479,1,PER(p=7),['None'],['PER']
S3,Stationary,0.9998930035408066,0.1585077045662569,0.0,0.9999356003120338,0.2787838183593562,0.3974629222210458,2,(RBF(l=0.1)+LIN(sigma=0)),[np.str_('+')],"['RBF', 'LIN']"
S3,Stationary,0.1759900115866852,0.5011373010394584,0.0,0.4604762296299017,0.8272743221106391,0.786358291628724,3,((RBF(l=10)*PER(p=52))+PER(p=30)),"[np.str_('*'), np.str_('+')]","['RBF', 'PER', 'PER']"
S3,Stationary,0.7011054028253615,0.8706606385004113,0.0,0.879668718167328,0.9805601138356376,0.8693374688888713,2,(PER(p=60)+PER(p=30)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.9998660322101888,0.2708811972087129,0.0,0.999959352288071,0.5917879242537076,0.6964780628685056,5,((((RBF(l=10)*PER(p=48))+PER(p=26))*RQ(alpha=10))+LIN(sigma=0)),"[np.str_('*'), np.str_('+'), np.str_('*'), np.str_('+')]","['RBF', 'PER', 'PER', 'RQ', 'LIN']"
S3,Stationary,0.2024495772902425,0.2976263922742963,0.0,0.2597779069102583,0.3777953850962174,0.2358969134266909,1,RBF(l=0.1),['None'],['RBF']
S3,Stationary,0.2564627851651894,0.5541792544802828,0.0,0.47980882726134,0.8557529715472277,0.7893468477428115,1,RQ(alpha=10),['None'],['RQ']
S3,Stationary,0.9876188798282336,0.9966147528218084,0.0,0.99402690435797,0.9983583177617992,0.5293377207026513,3,((PER(p=10)*PER(p=672))*PER(p=365)),"[np.str_('*'), np.str_('*')]","['PER', 'PER', 'PER']"
S3,Stationary,0.9999999997031356,0.1711808824032726,0.0,0.9999999998009372,0.3171990753244822,0.3294480285313912,1,LIN(sigma=1),['None'],['LIN']
S3,Stationary,0.6588271002744538,0.6270455769754892,0.0,0.6588234003241549,0.6269970853730028,0.0,1,PER(p=4),['None'],['PER']
S3,Stationary,0.6764146646998934,0.9642092903410142,0.0,0.7303639425318734,0.989462826488392,0.7119004207991976,1,PER(p=30),['None'],['PER']
S3,Stationary,0.9983881363458114,0.0418868518006767,0.0,0.9999865815559826,0.5741934131736937,0.991923883759694,1,PER(p=365),['None'],['PER']
S3,Stationary,0.0274538376810791,0.4118527234994907,0.0,0.0441863896479189,0.6446337639767671,0.5874029054540126,5,((((PER(p=168)+PER(p=96))+RBF(l=1))*PER(p=26))+PER(p=96)),"[np.str_('+'), np.str_('+'), np.str_('*'), np.str_('+')]","['PER', 'PER', 'RBF', 'PER', 'PER']"
S3,Stationary,0.1479457216216557,0.3754695107262714,0.0,0.0354021956343226,0.2840884368607763,0.1916696897200238,3,((PER(p=10)+PER(p=6))*PER(p=30)),"[np.str_('+'), np.str_('*')]","['PER', 'PER', 'PER']"
S3,Stationary,0.97210097826465,0.9811538785518386,0.0,0.9775603572806004,0.9866869625793144,0.2975862164122587,3,((PER(p=52)+PER(p=7))+PER(p=60)),"[np.str_('+'), np.str_('+')]","['PER', 'PER', 'PER']"
S3,Stationary,0.0,0.997544434368611,0.0,0.1366297953626342,0.9994963887641284,0.7954593205529391,1,PER(p=48),['None'],['PER']
S3,Stationary,0.9865406962351356,0.9516629452493308,0.0,0.997569091140882,0.9905999376682898,0.8380915718947402,3,((CONST(c=1)*PER(p=96))+PER(p=730)),"[np.str_('*'), np.str_('+')]","['CONST', 'PER', 'PER']"
S3,Stationary,0.9788320910207704,0.9416737825989424,0.0,0.9784195392171836,0.9423133158244184,0.0129372342053034,3,((PER(p=6)+PER(p=52))+RBF(l=10)),"[np.str_('+'), np.str_('+')]","['PER', 'PER', 'RBF']"
S3,Stationary,0.0180355500179518,0.2200659726142861,0.0,0.1723598277395179,0.3551792800869788,0.3585047126254919,5,((((WN(sigma=1)+PER(p=52))+PER(p=4))+RBF(l=1))*WN(sigma=1)),"[np.str_('+'), np.str_('+'), np.str_('+'), np.str_('*')]","['WN', 'PER', 'PER', 'RBF', 'WN']"
S3,Stationary,0.1188457623350781,0.6012973392044564,0.0,0.3213716877912821,0.8752682509059211,0.8086119395749165,3,((PER(p=52)+PER(p=40))*PER(p=52)),"[np.str_('+'), np.str_('*')]","['PER', 'PER', 'PER']"
S3,Stationary,0.0,0.3132753610402176,0.0,0.0113414053150239,0.4708772629283139,0.4114147855973292,2,(PER(p=7)*PER(p=52)),[np.str_('*')],"['PER', 'PER']"
S3,Stationary,0.4538048058110384,0.2387669148031765,0.0,0.630561762925842,0.3538861121738879,0.5093029231876416,3,((PER(p=10)*RBF(l=10))+PER(p=24)),"[np.str_('*'), np.str_('+')]","['PER', 'RBF', 'PER']"
S3,Stationary,0.2013698293373235,0.1976114412886325,0.0,0.2584835403825548,0.349580924313072,0.3842857210849663,4,(((PER(p=96)*RQ(alpha=10))*PER(p=4))*PER(p=730)),"[np.str_('*'), np.str_('*'), np.str_('*')]","['PER', 'RQ', 'PER', 'PER']"
S3,Stationary,0.9723347913753768,0.9966926376431056,0.0,0.9887289731866814,0.9987007311513582,0.6065830144178725,3,((PER(p=52)*LIN(sigma=1))+PER(p=26)),"[np.str_('*'), np.str_('+')]","['PER', 'LIN', 'PER']"
S3,Stationary,0.1118477213073755,0.1375940038143457,0.0,0.2620627869324637,0.2444498915710419,0.2592033277007288,4,(((PER(p=730)*PER(p=24))*RBF(l=10))*WN(sigma=1)),"[np.str_('*'), np.str_('*'), np.str_('*')]","['PER', 'PER', 'RBF', 'WN']"
S3,Stationary,0.0359503756804057,0.6124034961053351,0.0,0.3046089898228363,0.6170598942783982,0.018971889211518,1,PER(p=4),['None'],['PER']
S3,Stationary,0.3270292566023429,0.5423646468011702,0.0,0.5991543178595389,0.822241078774185,0.7599413943799318,5,((((RQ(alpha=1)+PER(p=96))*RBF(l=10))*RQ(alpha=10))+PER(p=26)),"[np.str_('+'), np.str_('*'), np.str_('*'), np.str_('+')]","['RQ', 'PER', 'RBF', 'RQ', 'PER']"
S3,Stationary,0.1336026581608093,0.2925797293688433,0.0,0.4902747739158684,0.7916760131797708,0.8388507902416381,3,((RBF(l=10)*PER(p=40))*PER(p=365)),"[np.str_('*'), np.str_('*')]","['RBF', 'PER', 'PER']"
S3,Stationary,0.1616464395786384,0.2120981185696651,0.0,0.2200287770358622,0.3323850402762197,0.2869663675064242,3,((CONST(c=1)*WN(sigma=0.1))*PER(p=52)),"[np.str_('*'), np.str_('*')]","['CONST', 'WN', 'PER']"
S3,Stationary,0.072466660062297,0.9999886396996956,0.0,0.1896956217822726,0.9999927731089427,0.363652911026061,2,(PER(p=10)*PER(p=10)),[np.str_('*')],"['PER', 'PER']"
S3,Stationary,0.9999999991816566,0.999996276884328,0.0,0.999999999438808,0.9999974467038908,0.3142329564320788,2,(PER(p=6)+LIN(sigma=10)),[np.str_('+')],"['PER', 'LIN']"
S3,Stationary,0.1910759152857131,0.1452301534575431,0.0,0.4309766853856139,0.204542705845262,0.2653058240809901,2,(WN(sigma=0.1)*PER(p=7)),[np.str_('*')],"['WN', 'PER']"
S3,Stationary,0.270736277546855,0.1134140536778499,0.0,0.5618763721064104,0.1421211492578121,0.2705121585559021,3,((RBF(l=0.1)*PER(p=24))*RBF(l=10)),"[np.str_('*'), np.str_('*')]","['RBF', 'PER', 'RBF']"
S3,Stationary,0.3078809381077219,0.6233719794463144,0.0,0.0,1.678252237613531e-05,0.0,3,((PER(p=672)*PER(p=168))+RQ(alpha=0.1)),"[np.str_('*'), np.str_('+')]","['PER', 'PER', 'RQ']"
S3,Stationary,0.0231261296678285,0.9999873891685817,0.0,0.054457359478836,0.9999917507134136,0.3456794518896383,1,PER(p=26),['None'],['PER']
S3,Stationary,0.9997535202944438,0.1375841239169908,0.0,0.9999136681671016,0.602615680586122,0.6498994721081555,4,(((RBF(l=10)*PER(p=168))+LIN(sigma=10))+PER(p=14)),"[np.str_('*'), np.str_('+'), np.str_('+')]","['RBF', 'PER', 'LIN', 'PER']"
S3,Stationary,0.1915813513807942,0.2305812461736687,0.0,0.3274028210223931,0.3587410851665484,0.443913113226088,2,(RBF(l=1)*PER(p=10)),[np.str_('*')],"['RBF', 'PER']"
S3,Stationary,0.7048801520766436,0.3748751748674278,0.0,0.812446270331262,0.5245915625505824,0.4225054016947682,4,(((PER(p=7)*RBF(l=1))+PER(p=730))+PER(p=24)),"[np.str_('*'), np.str_('+'), np.str_('+')]","['PER', 'RBF', 'PER', 'PER']"
S3,Stationary,0.4928151776756858,0.5076920601224735,0.0,0.4519604585143716,0.6155037190127969,0.342289718834553,5,((((PER(p=4)+PER(p=7))+PER(p=60))+PER(p=4))*PER(p=10)),"[np.str_('+'), np.str_('+'), np.str_('+'), np.str_('*')]","['PER', 'PER', 'PER', 'PER', 'PER']"
S3,Stationary,0.3966155200961507,0.5284602739627267,0.0,0.366811447254857,0.5329764036861193,0.0208564893493348,1,PER(p=24),['None'],['PER']
S3,Stationary,0.999999998620346,0.217284967176279,0.0,0.9999999990025774,0.3221331688832489,0.2770487957716547,1,LIN(sigma=0),['None'],['LIN']
S3,Stationary,0.0737560730990193,0.5128903007227581,0.0,0.0824469543285537,0.6991564066237177,0.540630148989431,3,((RQ(alpha=1)+PER(p=10))*PER(p=6)),"[np.str_('+'), np.str_('*')]","['RQ', 'PER', 'PER']"
S3,Stationary,0.2270542163007803,0.0442414831467774,0.0,0.5141442286470934,0.0635269147438424,0.2478638558816542,4,(((PER(p=52)+PER(p=26))*PER(p=24))*WN(sigma=0.1)),"[np.str_('+'), np.str_('*'), np.str_('*')]","['PER', 'PER', 'PER', 'WN']"
S3,Stationary,0.0027084569316538,0.989775523034131,0.0,0.0042824133161942,0.9908423664560096,0.1320605535254566,2,(PER(p=48)+PER(p=24)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.9982404815118632,0.0,0.0,0.9993319230019364,0.0825588623092999,0.6368163322241248,5,((((LIN(sigma=0)*LIN(sigma=1))*PER(p=730))*PER(p=730))+PER(p=6)),"[np.str_('*'), np.str_('*'), np.str_('*'), np.str_('+')]","['LIN', 'LIN', 'PER', 'PER', 'PER']"
S3,Stationary,0.3992535040405387,0.5473676451237186,0.0,0.2325440735218559,0.6939630165071013,0.4884658507477152,2,(PER(p=60)+PER(p=26)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.1073172993819699,0.1637695298829917,0.0,0.4009029143353184,0.6234357664936231,0.8342069826607483,4,(((PER(p=26)+LIN(sigma=10))*RQ(alpha=10))*PER(p=365)),"[np.str_('+'), np.str_('*'), np.str_('*')]","['PER', 'LIN', 'RQ', 'PER']"
S3,Stationary,0.3138229431797206,0.8493260507948717,0.0,0.1942260932288542,0.8910411240792293,0.2853204392529317,2,(PER(p=24)+PER(p=40)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.1009769927980116,0.3069375782002909,0.0,0.1932750356978348,0.7339658450376189,0.6552753095708731,3,((PER(p=730)+RBF(l=0.1))+RQ(alpha=1)),"[np.str_('+'), np.str_('+')]","['PER', 'RBF', 'RQ']"
S3,Stationary,0.99999993256623,0.9999941203232288,0.0,0.9999999530136268,0.999995901581421,0.3032389093644214,3,((LIN(sigma=1)+PER(p=14))+PER(p=14)),"[np.str_('+'), np.str_('+')]","['LIN', 'PER', 'PER']"
S3,Stationary,0.9998609104895984,0.2001909301073342,0.0,0.999922180694247,0.3767387751541378,0.4406044915831817,2,(LIN(sigma=10)+RQ(alpha=0.1)),[np.str_('+')],"['LIN', 'RQ']"
S3,Stationary,0.9999890156970802,0.114340375682821,0.0,0.9999922884035716,0.1880043258286751,0.298517593449059,3,((PER(p=24)*RBF(l=0.1))+LIN(sigma=1)),"[np.str_('*'), np.str_('+')]","['PER', 'RBF', 'LIN']"
S3,Stationary,0.6729522524886125,0.8125767062400809,0.0,0.853913005486958,0.9560382947994884,0.8005454443565692,3,((PER(p=24)+PER(p=60))+PER(p=336)),"[np.str_('+'), np.str_('+')]","['PER', 'PER', 'PER']"
S3,Stationary,0.9139924889499886,0.7271989163649422,0.0,0.9819750545198244,0.9433406832742294,0.8389759865731159,2,(PER(p=12)+RBF(l=10)),[np.str_('+')],"['PER', 'RBF']"
S3,Stationary,0.0058370038659834,0.6566836356902198,0.0,0.0250049746618461,0.7445054938408078,0.359456508677864,3,((PER(p=30)*WN(sigma=0.1))+PER(p=52)),"[np.str_('*'), np.str_('+')]","['PER', 'WN', 'PER']"
S3,Stationary,0.0,0.5197663302092532,0.0,0.051884186502062,0.7578351091645048,0.6898311419633412,2,(PER(p=24)+PER(p=30)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.128254389656071,0.2417251716887547,0.0,0.219254531844881,0.3870858498432827,0.341359837148541,3,((PER(p=26)*RQ(alpha=0.1))+WN(sigma=0.1)),"[np.str_('*'), np.str_('+')]","['PER', 'RQ', 'WN']"
S3,Stationary,0.0,0.884602938193453,0.0,0.017618482685041,0.8681344797779361,0.0,3,((PER(p=365)+RBF(l=0.1))*PER(p=730)),"[np.str_('+'), np.str_('*')]","['PER', 'RBF', 'PER']"
S3,Stationary,0.0963910899373117,0.0955631695126054,0.0,0.3766560439287868,0.2198203016185569,0.3532809699692921,1,CONST(c=1),['None'],['CONST']
S3,Stationary,0.0453391328543957,0.1564862660699016,0.0,0.1396645414188667,0.7960571079611851,0.8548108159443479,3,((PER(p=365)*PER(p=40))*RQ(alpha=10)),"[np.str_('*'), np.str_('*')]","['PER', 'PER', 'RQ']"
S3,Stationary,0.907826683697776,0.867528380023888,0.0,0.9346547692701516,0.90925676597872,0.3453036164755175,2,(RBF(l=10)+PER(p=672)),[np.str_('+')],"['RBF', 'PER']"
S3,Stationary,0.1714456395448699,0.2165531836832095,0.0,0.30735877382217,0.4136284980805814,0.5844863539419802,3,((RQ(alpha=1)*PER(p=48))*PER(p=48)),"[np.str_('*'), np.str_('*')]","['RQ', 'PER', 'PER']"
S3,Stationary,0.3196613444136772,0.6074720951029327,0.0,0.5155350947386199,0.732086128038417,0.432392844862541,4,(((PER(p=26)+PER(p=96))+RBF(l=1))*PER(p=4)),"[np.str_('+'), np.str_('+'), np.str_('*')]","['PER', 'PER', 'RBF', 'PER']"
S3,Stationary,0.2192371609666014,0.4775333789438576,0.0,0.2618367233834345,0.6852663639212331,0.5544903893943356,3,((PER(p=7)*PER(p=10))*PER(p=336)),"[np.str_('*'), np.str_('*')]","['PER', 'PER', 'PER']"
S3,Stationary,0.3283298089754087,0.5993766161569984,0.0,0.6055704488714418,0.89114051978529,0.7603000312534257,2,(RBF(l=10)+RQ(alpha=10)),[np.str_('+')],"['RBF', 'RQ']"
S3,Stationary,0.1169210789505387,0.6276289091931682,0.0,0.0,0.0,0.0,5,((((RQ(alpha=10)+PER(p=336))+CONST(c=1))+RQ(alpha=1))+PER(p=365)),"[np.str_('+'), np.str_('+'), np.str_('+'), np.str_('+')]","['RQ', 'PER', 'CONST', 'RQ', 'PER']"
S3,Stationary,0.0987217970510011,0.222751134105324,0.0,0.3176090708259885,0.5299971830476369,0.7116580618408112,1,RQ(alpha=1),['None'],['RQ']
S3,Stationary,0.7164423865898117,0.4634746576999302,0.0,0.7134856996497452,0.4687216997922514,0.0227844416595511,2,(PER(p=168)+PER(p=4)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.3903825585989535,0.4590141038102487,0.0,0.4747881202766782,0.5813227174049782,0.3500004989893075,5,((((RBF(l=0.1)*PER(p=336))*RQ(alpha=0.1))+PER(p=672))*PER(p=48)),"[np.str_('*'), np.str_('*'), np.str_('+'), np.str_('*')]","['RBF', 'PER', 'RQ', 'PER', 'PER']"
S3,Stationary,0.0,0.9975722148230932,0.0,0.5774616603092873,0.9998905947479452,0.9553235434437076,1,PER(p=52),['None'],['PER']
S3,Stationary,0.1871794436686648,0.3331467766169771,0.0,0.2770218166363085,0.5884260636167344,0.5673616039316098,4,(((PER(p=52)+RBF(l=0.1))*RBF(l=10))+PER(p=96)),"[np.str_('+'), np.str_('*'), np.str_('+')]","['PER', 'RBF', 'RBF', 'PER']"
S3,Stationary,0.1287043054425655,0.3430587013145608,0.0,0.3275168517367551,0.4520202288868673,0.3650756538778148,3,((PER(p=12)*PER(p=7))*PER(p=336)),"[np.str_('*'), np.str_('*')]","['PER', 'PER', 'PER']"
S3,Stationary,0.9999999804605372,0.1534636934204467,0.0,0.9999999860239804,0.2107807410261197,0.2847208019791655,1,LIN(sigma=0),['None'],['LIN']
S3,Stationary,0.2167440627121328,0.5178665787731297,0.0,0.6712514834466841,0.9310323316900496,0.926389795382938,2,(RBF(l=10)+WN(sigma=0.1)),[np.str_('+')],"['RBF', 'WN']"
S3,Stationary,0.21823545030371,0.1583932359884208,0.0,0.4639883952475009,0.3434532317459211,0.7071434570062299,5,((((PER(p=48)*LIN(sigma=1))*PER(p=26))*PER(p=12))+PER(p=730)),"[np.str_('*'), np.str_('*'), np.str_('*'), np.str_('+')]","['PER', 'LIN', 'PER', 'PER', 'PER']"
S3,Stationary,0.904808295221466,0.982892746118616,0.0,0.8981750750636524,0.98294520285652,0.0037507601362158,2,(PER(p=40)+PER(p=6)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.1357149751888808,0.1370238586321939,0.0,0.3659249071056277,0.2526639133616061,0.3588277353631557,1,WN(sigma=1),['None'],['WN']
S3,Stationary,0.0222754459344189,0.3863682715208398,0.0,0.6812570110328293,0.9444227607385584,0.9079096724549814,3,((PER(p=365)+PER(p=96))*RBF(l=10)),"[np.str_('+'), np.str_('*')]","['PER', 'PER', 'RBF']"
S3,Stationary,0.4690196162109696,0.6741059027623839,0.0,0.9068247803839982,0.9597745797018906,0.9127609049965812,4,(((PER(p=96)*LIN(sigma=1))*PER(p=96))+PER(p=26)),"[np.str_('*'), np.str_('*'), np.str_('+')]","['PER', 'LIN', 'PER', 'PER']"
S3,Stationary,0.1491302884536476,0.696846432091347,0.0,0.4673143248639935,0.9373598772667796,0.8522128266007942,3,((PER(p=60)*CONST(c=1))*PER(p=52)),"[np.str_('*'), np.str_('*')]","['PER', 'CONST', 'PER']"
S3,Stationary,0.1030180083558811,0.3112222890369994,0.0,0.219344850012191,0.5195872208345309,0.5139320551535171,3,((PER(p=14)+PER(p=14))*RBF(l=1)),"[np.str_('+'), np.str_('*')]","['PER', 'PER', 'RBF']"
S3,Stationary,0.9999906413513128,0.3001000028906461,0.0,0.9999951076298864,0.4718764266108007,0.4772932777924349,2,(RBF(l=1)+LIN(sigma=10)),[np.str_('+')],"['RBF', 'LIN']"
S3,Stationary,0.919124156671104,0.8222185567788806,0.0,0.9496183183277904,0.9088420837502048,0.5042321368744264,4,(((WN(sigma=0.1)+PER(p=12))+PER(p=365))*LIN(sigma=1)),"[np.str_('+'), np.str_('+'), np.str_('*')]","['WN', 'PER', 'PER', 'LIN']"
S3,Stationary,0.1187348322956911,0.9999896789568976,0.0,0.2414165369003167,0.999993193486782,0.3407931434297059,1,PER(p=6),['None'],['PER']
S3,Stationary,0.0553018066914344,0.999979575982115,0.0,0.0560694454795567,0.9999872057810304,0.3740100013542202,1,PER(p=26),['None'],['PER']
S3,Stationary,0.0,0.995996931227262,0.0,0.4577388678520574,0.999667870685166,0.9178654852290647,1,PER(p=48),['None'],['PER']
S3,Stationary,0.1152598581713181,0.1838268987642212,0.0,0.2779485726041423,0.2972141328302832,0.2865745222807484,1,WN(sigma=1),['None'],['WN']
S3,Stationary,0.9999994212264164,0.9783215049368122,0.0,0.9999998679918272,0.9948570143483302,0.7719413539351956,3,((PER(p=30)*PER(p=730))+LIN(sigma=1)),"[np.str_('*'), np.str_('+')]","['PER', 'PER', 'LIN']"
S3,Stationary,0.9974975634995188,0.5772434943567778,0.0,0.9983574379476216,0.6906546955640278,0.3465083169305915,5,((((PER(p=40)+RQ(alpha=1))+PER(p=4))+CONST(c=1))+LIN(sigma=10)),"[np.str_('+'), np.str_('+'), np.str_('+'), np.str_('+')]","['PER', 'RQ', 'PER', 'CONST', 'LIN']"
S3,Stationary,0.0,0.9468421076445728,0.0,0.2784115481642586,0.9915340038840582,0.8283035757468111,2,(PER(p=52)+PER(p=96)),[np.str_('+')],"['PER', 'PER']"
S3,Stationary,0.0,0.27005250672962,0.0,0.0223426342650636,0.495284860860769,0.4593638959409006,5,((((PER(p=24)+PER(p=30))*PER(p=52))*WN(sigma=0.1))*CONST(c=1)),"[np.str_('+'), np.str_('*'), np.str_('*'), np.str_('*')]","['PER', 'PER', 'PER', 'WN', 'CONST']"
S3,Stationary,0.9999220534975224,0.0333095932090351,0.0,0.999987060097528,0.4643098182781816,0.8354972314299391,3,((LIN(sigma=10)+PER(p=14))*PER(p=672)),"[np.str_('+'), np.str_('*')]","['LIN', 'PER', 'PER']"
S3,Stationary,0.0368639030803835,0.235625115278751,0.0,0.1368466739347271,0.3819452264869871,0.3327709869596523,1,WN(sigma=0.1),['None'],['WN']
S3,Stationary,0.0598640282679114,0.9999916251970622,0.0,0.1586712461562358,0.9999943733208676,0.3278124618109811,1,PER(p=12),['None'],['PER']
S3,Stationary,0.5586984329448588,0.7300157549663482,0.0,0.8641214385762633,0.9311104554582864,0.8095309035030516,5,((((PER(p=40)*RBF(l=10))+PER(p=14))+RQ(alpha=10))+PER(p=30)),"[np.str_('*'), np.str_('+'), np.str_('+'), np.str_('+')]","['PER', 'RBF', 'PER', 'RQ', 'PER']"
S3,Stationary,0.1838396986143942,0.1867932236704305,0.0,0.2514549725579712,0.3602348811364134,0.4466981848025915,3,((PER(p=24)+RBF(l=1))*RBF(l=1)),"[np.str_('+'), np.str_('*')]","['PER', 'RBF', 'RBF']"
S3,Stationary,0.4635976568897274,0.8210456240249863,0.0,0.8767762008431891,0.9843348625628604,0.9218309477192916,3,((PER(p=48)+PER(p=14))*LIN(sigma=1)),"[np.str_('+'), np.str_('*')]","['PER', 'PER', 'LIN']"
S3,Stationary,0.3474571620050394,0.4914675160541775,0.0,0.4770927220139179,0.6756619168013056,0.5478233220379614,5,((((PER(p=12)*PER(p=48))+PER(p=336))*PER(p=12))+PER(p=40)),"[np.str_('*'), np.str_('+'), np.str_('*'), np.str_('+')]","['PER', 'PER', 'PER', 'PER', 'PER']"
S3,Stationary,0.1171894576729963,0.5432353790373194,0.0,0.2427698243441954,0.650162440930375,0.3246661140582787,4,(((RBF(l=10)*RBF(l=0.1))*RQ(alpha=1))+PER(p=7)),"[np.str_('*'), np.str_('*'), np.str_('+')]","['RBF', 'RBF', 'RQ', 'PER']"
S3,Stationary,0.9999999998216558,0.265142028594227,0.0,0.9999999998784586,0.3604925873090377,0.3185008067701996,1,LIN(sigma=10),['None'],['LIN']
S3,Stationary,0.9999762637379516,0.6622756058498948,0.0,0.9999907186117496,0.8298663604686424,0.6088528209522892,5,((((RQ(alpha=1)*CONST(c=1))+RBF(l=1))+LIN(sigma=0))+PER(p=52)),"[np.str_('*'), np.str_('+'), np.str_('+'), np.str_('+')]","['RQ', 'CONST', 'RBF', 'LIN', 'PER']"
S3,Stationary,0.1909143288316197,0.1175755312589371,0.0,0.4288151326999776,0.1539959861117508,0.2370267614565391,1,WN(sigma=1),['None'],['WN']
S3,Stationary,0.0409142266634001,0.4123743929942258,0.0,0.200460176643596,0.7732188453833883,0.8312776412189797,3,((CONST(c=1)+RQ(alpha=1))+RQ(alpha=10)),"[np.str_('+'), np.str_('+')]","['CONST', 'RQ', 'RQ']"
