data,method,cl,hl,ft_method,rank,alpha,dropout,target_modules,lr,epochs,batch_size,mae,mse,wape,smape,mae_scl,mse_scl,wape_scl,smape_scl,tr_time,inf_time,tr_params_ratio
Etth1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.1747,330.3394,265.16,117.35,2.0572,4.7397,173.44,197.78,1368.161821603775,4.26956582069397,0.001326445030598047
Etth1,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.1747,330.3394,265.16,117.35,2.0572,4.7397,173.44,197.78,1333.7775914669037,4.414585590362549,0.000884687850332933
Etth1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.1747,330.3394,265.16,117.35,2.0572,4.7397,173.44,197.78,1575.883385181427,5.122362852096558,0.002208788493316344
Etth1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.173,327.4039,265.14,117.49,2.057,4.6975,173.42,197.97,1349.3246133327484,2.3202857971191406,0.001326445030598047
Etth1,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.173,327.4039,265.14,117.49,2.057,4.6975,173.42,197.97,1318.504427909851,2.3972361087799072,0.000884687850332933
Etth1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.173,327.4039,265.14,117.49,2.057,4.6975,173.42,197.97,1569.3073008060455,2.6331706047058105,0.002208788493316344
Etth1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.2826,330.9328,266.83,117.72,2.0701,4.7482,174.53,198.25,1340.8621056079865,1.329573631286621,0.001326445030598047
Etth1,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.2826,330.9328,266.83,117.72,2.0701,4.7482,174.53,198.25,1307.8805224895477,1.2476108074188232,0.000884687850332933
Etth1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.2826,330.9328,266.83,117.72,2.0701,4.7482,174.53,198.25,1542.6609797477722,1.471512794494629,0.002208788493316344
Etth1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.0058,328.659,262.55,117.06,2.037,4.7155,171.73,197.39,1291.4488332271576,0.6509063243865967,0.001326445030598047
Etth1,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.0058,328.659,262.55,117.06,2.037,4.7155,171.73,197.39,1262.401802778244,0.6747860908508301,0.000884687850332933
Etth1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.0058,328.659,262.55,117.06,2.037,4.7155,171.73,197.39,1487.6729655265808,0.7398281097412109,0.002208788493316344
Etth2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,18.5249,488.9074,86.31,69.64,1.6245,3.7598,160.91,161.42,1362.5551869869232,4.447811126708984,0.001326445030598047
Etth2,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,18.5249,488.9074,86.31,69.64,1.6245,3.7598,160.91,161.42,1335.8542306423187,4.472600936889648,0.000884687850332933
Etth2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,18.5249,488.9074,86.31,69.64,1.6245,3.7598,160.91,161.42,1576.8132150173187,5.08732533454895,0.002208788493316344
Etth2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,18.333,480.0148,85.41,68.64,1.6077,3.6914,159.25,161.37,1352.101469039917,2.320227861404419,0.001326445030598047
Etth2,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,18.333,480.0148,85.41,68.64,1.6077,3.6914,159.25,161.37,1322.497201681137,2.3532681465148926,0.000884687850332933
Etth2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,18.333,480.0148,85.41,68.64,1.6077,3.6914,159.25,161.37,1568.738234758377,2.9440596103668213,0.002208788493316344
Etth2,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,18.3999,490.0518,85.72,68.5,1.6135,3.7686,159.83,160.27,1338.5592663288116,1.331615924835205,0.001326445030598047
Etth2,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,18.3999,490.0518,85.72,68.5,1.6135,3.7686,159.83,160.27,1311.7830045223236,1.3455851078033447,0.000884687850332933
Etth2,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,18.3999,490.0518,85.72,68.5,1.6135,3.7686,159.83,160.27,1551.409737586975,1.5015673637390137,0.002208788493316344
Etth2,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,18.0734,478.9764,84.2,68.1,1.5849,3.6834,156.99,160.51,1291.247296333313,0.6808135509490967,0.001326445030598047
Etth2,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,18.0734,478.9764,84.2,68.1,1.5849,3.6834,156.99,160.51,1264.2283682823181,0.6667864322662354,0.000884687850332933
Etth2,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,18.0734,478.9764,84.2,68.1,1.5849,3.6834,156.99,160.51,1495.1575753688812,0.7487609386444092,0.002208788493316344
Ettm1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.1673,326.676,265.11,117.62,2.057,4.6901,173.39,198.02,5501.127336978912,17.14556121826172,0.001326445030598047
Ettm1,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.1673,326.676,265.11,117.62,2.057,4.6901,173.39,198.02,5378.438633680344,18.10023331642151,0.000884687850332933
Ettm1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.1673,326.676,265.11,117.62,2.057,4.6901,173.39,198.02,6377.5003221035,20.214543104171753,0.002208788493316344
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.161,324.8111,265.02,117.64,2.0562,4.6634,173.33,198.29,5492.96088886261,9.032108068466187,0.001326445030598047
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.161,324.8111,265.02,117.64,2.0562,4.6634,173.33,198.29,5387.156445503235,9.025163650512695,0.000884687850332933
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.161,324.8111,265.02,117.64,2.0562,4.6634,173.33,198.29,6393.853263139725,9.833858251571655,0.002208788493316344
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.2944,329.6777,267.08,117.98,2.0722,4.7332,174.67,198.32,5478.295788049698,5.258331775665283,0.001326445030598047
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.2944,329.6777,267.08,117.98,2.0722,4.7332,174.67,198.32,5376.206818819046,5.280468940734863,0.000884687850332933
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.2944,329.6777,267.08,117.98,2.0722,4.7332,174.67,198.32,6345.172580480576,5.601206064224243,0.002208788493316344
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.025,328.0264,262.92,117.36,2.04,4.7095,171.95,197.5,5440.168285369873,2.512160301208496,0.001326445030598047
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.025,328.0264,262.92,117.36,2.04,4.7095,171.95,197.5,5335.199521303177,2.382237434387207,0.000884687850332933
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.025,328.0264,262.92,117.36,2.04,4.7095,171.95,197.5,6301.984180927277,2.7951061725616455,0.002208788493316344
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.9016,448.8218,83.39,67.78,1.5702,3.4532,155.48,160.9,5515.651339530945,18.11919903755188,0.001326445030598047
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['ff0', 'ff1']",0.0001,10,16,17.9016,448.8218,83.39,67.78,1.5702,3.4532,155.48,160.9,5395.754198789597,18.128302097320557,0.000884687850332933
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out', 'ff0', 'ff1']",0.0001,10,16,17.9016,448.8218,83.39,67.78,1.5702,3.4532,155.48,160.9,6370.200425386429,20.335489988327026,0.002208788493316344
Ettm2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,17.8819,448.5766,83.3,67.68,1.5685,3.4513,155.31,160.92,5508.5725877285,9.155086755752563,0.001326445030598047
