data,method,cl,hl,ft_method,rank,alpha,lr,epochs,mae,mse,wape,smape,tr_time,inf_time,tr_params_ratio
Etth1,TimesFM,96,192,LoRA,2,8,0.0001,10,2.4917,11.441,38.47,51.36,1442.255732,11.11946273,0.001326445
Etth1,TimesFM,96,192,LoRA,2,8,0.0001,10,2.4917,11.441,38.47,51.36,1441.070518,11.09144974,0.000884688
Etth1,TimesFM,96,192,LoRA,2,8,0.0001,10,2.4917,11.441,38.47,51.36,1626.479772,12.13313746,0.002208788
Etth1,TimesFM,96,192,LoRA,4,8,0.0001,10,2.4917,11.441,38.47,51.36,1441.596024,11.01250219,0.002649376
Etth1,TimesFM,96,192,LoRA,4,8,0.0001,10,2.4917,11.441,38.47,51.36,1439.177133,11.03249478,0.001767812
Etth1,TimesFM,96,192,LoRA,4,8,0.0001,10,2.4917,11.441,38.47,51.36,1625.31012,12.28009415,0.004407841
Etth1,TimesFM,96,256,LoRA,2,8,0.0001,10,2.1466,8.2005,33.14,42.4,1431.901299,8.303369284,0.001326445
Etth1,TimesFM,96,256,LoRA,2,8,0.0001,10,2.1466,8.2005,33.14,42.4,1428.753902,8.181402445,0.000884688
Etth1,TimesFM,96,256,LoRA,2,8,0.0001,10,2.1466,8.2005,33.14,42.4,1617.855285,9.245069981,0.002208788
Etth1,TimesFM,96,256,LoRA,4,8,0.0001,10,2.1466,8.2005,33.14,42.4,1430.929236,8.381310463,0.002649376
Etth1,TimesFM,96,256,LoRA,4,8,0.0001,10,2.1466,8.2005,33.14,42.4,1430.505682,8.351357698,0.001767812
Etth1,TimesFM,96,256,LoRA,4,8,0.0001,10,2.1466,8.2005,33.14,42.4,1618.347641,9.093088865,0.004407841
Etth1,TimesFM,192,192,LoRA,2,8,0.0001,10,2.3597,9.4979,36.43,47.22,1439.583435,10.98251891,0.001326445
Etth1,TimesFM,192,192,LoRA,2,8,0.0001,10,2.3597,9.4979,36.43,47.22,1440.846798,11.32239628,0.000884688
Etth1,TimesFM,192,192,LoRA,2,8,0.0001,10,2.3597,9.4979,36.43,47.22,1627.310247,12.5100143,0.002208788
Etth1,TimesFM,192,192,LoRA,4,8,0.0001,10,2.3597,9.4979,36.43,47.22,1438.761755,11.34035444,0.002649376
Etth1,TimesFM,192,192,LoRA,4,8,0.0001,10,2.3597,9.4979,36.43,47.22,1444.547286,11.19541526,0.001767812
Etth1,TimesFM,192,192,LoRA,4,8,0.0001,10,2.3597,9.4979,36.43,47.22,1625.821842,12.514992,0.004407841
Etth1,TimesFM,192,256,LoRA,2,8,0.0001,10,2.1771,7.6577,33.61,45.13,1429.386084,8.413333416,0.001326445
Etth1,TimesFM,192,256,LoRA,2,8,0.0001,10,2.1771,7.6577,33.61,45.13,1435.372996,8.53228879,0.000884688
Etth1,TimesFM,192,256,LoRA,2,8,0.0001,10,2.1771,7.6577,33.61,45.13,1625.184083,9.405023098,0.002208788
Etth1,TimesFM,192,256,LoRA,4,8,0.0001,10,2.1771,7.6577,33.61,45.13,1451.677419,8.374341726,0.002649376
Etth1,TimesFM,192,256,LoRA,4,8,0.0001,10,2.1771,7.6577,33.61,45.13,1437.320564,8.534295082,0.001767812
Etth1,TimesFM,192,256,LoRA,4,8,0.0001,10,2.1771,7.6577,33.61,45.13,1622.351578,9.435001373,0.004407841
Etth2,TimesFM,96,192,LoRA,2,8,0.0001,10,4.8798,42.188,22.73,29.47,1441.943255,10.48664355,0.001326445
Etth2,TimesFM,96,192,LoRA,2,8,0.0001,10,4.8798,42.188,22.73,29.47,1439.583789,11.03249478,0.000884688
Etth2,TimesFM,96,192,LoRA,2,8,0.0001,10,4.8798,42.188,22.73,29.47,1631.867021,12.32707572,0.002208788
Etth2,TimesFM,96,192,LoRA,4,8,0.0001,10,4.8798,42.188,22.73,29.47,1441.726771,11.07548237,0.002649376
Etth2,TimesFM,96,192,LoRA,4,8,0.0001,10,4.8798,42.188,22.73,29.47,1439.095412,11.07348347,0.001767812
Etth2,TimesFM,96,192,LoRA,4,8,0.0001,10,4.8798,42.188,22.73,29.47,1628.70327,12.34506035,0.004407841
Etth2,TimesFM,96,256,LoRA,2,8,0.0001,10,4.8323,38.5028,22.51,30.18,1433.902675,8.325333595,0.001326445
Etth2,TimesFM,96,256,LoRA,2,8,0.0001,10,4.8323,38.5028,22.51,30.18,1452.620961,8.23838973,0.000884688
Etth2,TimesFM,96,256,LoRA,2,8,0.0001,10,4.8323,38.5028,22.51,30.18,1614.659065,8.681221008,0.002208788
Etth2,TimesFM,96,256,LoRA,4,8,0.0001,10,4.8323,38.5028,22.51,30.18,1435.283413,8.301371574,0.002649376
Etth2,TimesFM,96,256,LoRA,4,8,0.0001,10,4.8323,38.5028,22.51,30.18,1434.49597,8.304365635,0.001767812
Etth2,TimesFM,96,256,LoRA,4,8,0.0001,10,4.8323,38.5028,22.51,30.18,1621.510455,8.613242626,0.004407841
Etth2,TimesFM,192,192,LoRA,2,8,0.0001,10,4.6716,38.0363,21.76,29.54,1442.088803,11.15642715,0.001326445
Etth2,TimesFM,192,192,LoRA,2,8,0.0001,10,4.6716,38.0363,21.76,29.54,1445.008677,11.32440138,0.000884688
Etth2,TimesFM,192,192,LoRA,2,8,0.0001,10,4.6716,38.0363,21.76,29.54,1635.186016,12.33904791,0.002208788
Etth2,TimesFM,192,192,LoRA,4,8,0.0001,10,4.6716,38.0363,21.76,29.54,1440.791751,11.39037657,0.002649376
Etth2,TimesFM,192,192,LoRA,4,8,0.0001,10,4.6716,38.0363,21.76,29.54,1443.378587,11.21343017,0.001767812
Etth2,TimesFM,192,192,LoRA,4,8,0.0001,10,4.6716,38.0363,21.76,29.54,1634.403121,12.57197618,0.004407841
Etth2,TimesFM,192,256,LoRA,2,8,0.0001,10,4.6283,34.4205,21.56,29.73,1462.581594,8.722234249,0.001326445
Etth2,TimesFM,192,256,LoRA,2,8,0.0001,10,4.6283,34.4205,21.56,29.73,1444.303402,8.538288116,0.000884688
Etth2,TimesFM,192,256,LoRA,2,8,0.0001,10,4.6283,34.4205,21.56,29.73,1627.060697,9.315039396,0.002208788
Etth2,TimesFM,192,256,LoRA,4,8,0.0001,10,4.6283,34.4205,21.56,29.73,1435.26229,8.122399807,0.002649376
Etth2,TimesFM,192,256,LoRA,4,8,0.0001,10,4.6283,34.4205,21.56,29.73,1442.055801,8.690237045,0.001767812
Etth2,TimesFM,192,256,LoRA,4,8,0.0001,10,4.6283,34.4205,21.56,29.73,1653.209763,9.520979881,0.004407841
Ettm1,TimesFM,96,192,LoRA,2,8,0.0001,10,1.7986,5.8431,27.78,38.06,5944.731541,43.01524758,0.001326445
Ettm1,TimesFM,96,192,LoRA,2,8,0.0001,10,1.7986,5.8431,27.78,38.06,5880.056493,41.05391812,0.000884688
Ettm1,TimesFM,96,192,LoRA,2,8,0.0001,10,1.7986,5.8431,27.78,38.06,6641.59693,47.94066763,0.002208788
Ettm1,TimesFM,96,192,LoRA,4,8,0.0001,10,1.7986,5.8431,27.78,38.06,5893.029742,43.14520717,0.002649376
Ettm1,TimesFM,96,192,LoRA,4,8,0.0001,10,1.7986,5.8431,27.78,38.06,5868.934814,43.17819428,0.001767812
Ettm1,TimesFM,96,192,LoRA,4,8,0.0001,10,1.7986,5.8431,27.78,38.06,6627.675281,46.95406651,0.004407841
Ettm1,TimesFM,96,256,LoRA,2,8,0.0001,10,1.9132,6.7786,29.55,41.7,5874.427726,32.38773727,0.001326445
Ettm1,TimesFM,96,256,LoRA,2,8,0.0001,10,1.9132,6.7786,29.55,41.7,5878.988624,32.17072082,0.000884688
Ettm1,TimesFM,96,256,LoRA,2,8,0.0001,10,1.9132,6.7786,29.55,41.7,6622.692715,36.06047225,0.002208788
Ettm1,TimesFM,96,256,LoRA,4,8,0.0001,10,1.9132,6.7786,29.55,41.7,5876.632424,32.37165809,0.002649376
Ettm1,TimesFM,96,256,LoRA,4,8,0.0001,10,1.9132,6.7786,29.55,41.7,5869.749939,32.50574589,0.001767812
Ettm1,TimesFM,96,256,LoRA,4,8,0.0001,10,1.9132,6.7786,29.55,41.7,6631.94922,36.19657803,0.004407841
