data,method,cl,hl,mae,mse,wape,smape,inf_time,mae_scl,mse_scl,wape_scl,smape_scl
Etth1,TimesFM,96,96,1.9137,6.8742,29.55,43.52,10.563616752624512,0.2292,0.0986,19.33,23.44
Etth1,TimesFM,96,192,2.4917,11.441,38.47,51.36,10.448425531387329,0.2985,0.1642,25.16,30.41
Etth1,TimesFM,96,336,2.1459,7.8906,33.13,42.85,8.847234964370728,0.257,0.1132,21.67,25.47
Etth1,TimesFM,96,720,2.734,12.5955,42.21,49.73,8.610249519348145,0.3275,0.1807,27.61,32.56
Etth2,TimesFM,96,96,3.9907,28.7299,18.59,23.61,10.18970775604248,0.35,0.2209,34.66,59.93
Etth2,TimesFM,96,192,4.8798,42.188,22.73,29.47,10.502245426177979,0.4279,0.3244,42.39,66.25
Etth2,TimesFM,96,336,4.7938,36.2831,22.33,30.12,8.776282787322998,0.4204,0.279,41.64,71.74
Etth2,TimesFM,96,720,6.0987,64.894,28.41,35.93,8.636234045028687,0.5348,0.499,52.97,66.64
Ettm1,TimesFM,96,96,1.3696,3.5232,21.15,31.36,40.38818383216858,0.1641,0.0506,13.83,17.5
Ettm1,TimesFM,96,192,1.7986,5.8431,27.78,38.06,39.54999756813049,0.2155,0.0839,18.17,22.08
Ettm1,TimesFM,96,336,2.0772,7.2786,32.08,41.16,34.26030087471008,0.2489,0.1045,20.98,25.52
Ettm1,TimesFM,96,720,2.4069,10.043,37.17,52.58,30.292307376861572,0.2884,0.1442,24.31,27.55
Ettm2,TimesFM,96,96,4.354,39.1343,20.28,26.61,37.00414848327637,0.3819,0.3011,37.82,60.97
Ettm2,TimesFM,96,192,4.7646,43.4246,22.2,29.67,36.58428454399109,0.4179,0.3341,41.38,66.36
Ettm2,TimesFM,96,336,5.7624,62.5982,26.84,31.96,32.818519830703735,0.5054,0.4816,50.05,70.91
Ettm2,TimesFM,96,720,7.9656,131.1032,37.11,39.82,30.95825219154358,0.6987,1.0087,69.18,85.44
Electricity,TimesFM,96,96,271.6951,147412.17,8.29,8.09,14.572575807571411,0.49,0.4796,61.15,82.88
Electricity,TimesFM,96,192,233.8059,111432.83,7.14,6.9,14.596300840377808,0.4217,0.3625,52.62,76.26
Electricity,TimesFM,96,336,243.9688,112570.41,7.45,7.41,12.552954912185669,0.44,0.3662,54.91,78.98
Electricity,TimesFM,96,720,256.5275,126692.195,7.83,7.65,11.056432723999023,0.4627,0.4122,57.74,81.67
Exchange,TimesFM,96,96,0.0127,0.0003,1.66,1.67,4.152670621871948,0.2291,0.0833,8.91,9.95
Exchange,TimesFM,96,192,0.0185,0.0005,2.4,2.44,4.133680105209351,0.3324,0.1737,12.93,14.97
Exchange,TimesFM,96,336,0.0229,0.0009,2.97,3.02,3.6478357315063477,0.4113,0.3018,16.0,18.03
Exchange,TimesFM,96,720,0.0443,0.003,5.75,5.83,4.178663730621338,0.7954,0.9664,30.94,33.8
Solar,TimesFM,96,96,7.4224,168.4592,102.6,183.83,28.221964120864868,0.6299,1.2133,75.22,74.95
Solar,TimesFM,96,192,7.5318,172.7131,104.12,186.45,28.97234845161438,0.6392,1.244,76.33,75.88
Solar,TimesFM,96,336,7.6117,171.4468,105.22,183.56,24.26422929763794,0.646,1.2348,77.14,77.73
Solar,TimesFM,96,720,8.0714,174.1325,111.58,179.92,22.66970920562744,0.685,1.2542,81.8,84.18
Weather,TimesFM,96,96,10.8713,280.3842,2.51,2.49,27.218942642211914,0.0283,0.0019,46.83,58.12
Weather,TimesFM,96,192,11.2881,274.1081,2.6,2.58,27.76965880393982,0.0294,0.0019,48.62,62.34
Weather,TimesFM,96,336,12.4359,351.3192,2.87,2.85,24.87600350379944,0.0324,0.0024,53.57,66.58
Weather,TimesFM,96,720,15.701,474.4656,3.62,3.58,22.48975658416748,0.0409,0.0032,67.63,75.67
