True_Sector,Pattern,F_T_STL,F_S_STL,F_R_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,Num_Kernels,Kernel_Expression,Operations
S2,Seasonal,0.396838504851064,0.39986466166677415,0.0,0.6139193064313437,0.6083047673843827,0.5957817687748994,4,(((Per(p=12)+Per(p=96))+RQ(α=1))+RBF(l=1)),"[np.str_('+'), np.str_('+'), np.str_('+')]"
S2,Seasonal,0.16012737138670852,0.3508515777550224,0.0,0.18219278234769765,0.3503887345868375,0.0,1,Per(p=336),['None']
S2,Seasonal,0.08172969394907603,0.24572858297363864,0.0,0.1629463423210662,0.365745791545672,0.3061884048097758,2,(Per(p=10)+WN(σ=1)),[np.str_('+')]
S2,Seasonal,0.0059059233187797044,0.9999866385086384,0.0,0.02201787295192137,0.9999914898697979,0.3630839336711309,1,Per(p=26),['None']
S2,Seasonal,0.9996833292765237,0.05780136094217214,0.0,0.9999897718545099,0.907157079725805,0.9684070344656015,1,Per(p=365),['None']
S2,Seasonal,0.025976399056297006,0.48120341510183695,0.0,0.007693963981090457,0.012610474902013946,0.0,2,(Per(p=336)+RBF(l=0.1)),[np.str_('+')]
S2,Seasonal,0.0,0.8577245644278019,0.0,0.09341716131036593,0.8970487517179442,0.38326588736531875,2,(Per(p=12)*Per(p=48)),[np.str_('*')]
S2,Seasonal,0.026530323869624062,0.21305886979929767,0.0,0.19342155551885576,0.4194408168954653,0.3824081315972686,4,(((Per(p=96)+Per(p=672))+Per(p=96))*WN(σ=0.1)),"[np.str_('+'), np.str_('+'), np.str_('*')]"
S2,Seasonal,0.21464612293270502,0.23002395530742203,0.0,0.32336143696377173,0.3151440396456755,0.3162646775115665,3,((RQ(α=0.1)+RQ(α=1))*Per(p=4)),"[np.str_('+'), np.str_('*')]"
S2,Seasonal,0.09506053458295027,0.999935423743293,0.0,0.2018472014825171,0.9999531185836136,0.2750476673977479,1,Per(p=7),['None']
